instrumentid,Name,Latitude,Longitude,y,m,d,h,grafNO2
1,Hjortnes,59.91132000,10.70407000,2017,1,5,3,7.688512
1,Hjortnes,59.91132000,10.70407000,2017,1,5,4,28.755632
1,Hjortnes,59.91132000,10.70407000,2017,1,5,5,87.497874
1,Hjortnes,59.91132000,10.70407000,2017,1,5,6,98.304395
1,Hjortnes,59.91132000,10.70407000,2017,1,5,7,97.444422
1,Hjortnes,59.91132000,10.70407000,2017,1,5,8,94.969663
1,Hjortnes,59.91132000,10.70407000,2017,1,5,9,85.075265
1,Hjortnes,59.91132000,10.70407000,2017,1,5,10,84.364563
1,Hjortnes,59.91132000,10.70407000,2017,1,5,11,71.134316
1,Hjortnes,59.91132000,10.70407000,2017,1,5,12,87.786473
1,Hjortnes,59.91132000,10.70407000,2017,1,5,13,83.620198
1,Hjortnes,59.91132000,10.70407000,2017,1,5,14,119.307093
1,Hjortnes,59.91132000,10.70407000,2017,1,5,15,114.682227
1,Hjortnes,59.91132000,10.70407000,2017,1,5,16,135.035669
1,Hjortnes,59.91132000,10.70407000,2017,1,5,17,30.103738
1,Hjortnes,59.91132000,10.70407000,2017,1,5,18,20.921844
1,Hjortnes,59.91132000,10.70407000,2017,1,5,19,39.254645
1,Hjortnes,59.91132000,10.70407000,2017,1,5,20,46.999477
1,Hjortnes,59.91132000,10.70407000,2017,1,5,21,42.475452
1,Hjortnes,59.91132000,10.70407000,2017,1,5,22,21.865119
1,Hjortnes,59.91132000,10.70407000,2017,1,5,23,35.461844
1,Hjortnes,59.91132000,10.70407000,2017,1,6,0,25.893497
1,Hjortnes,59.91132000,10.70407000,2017,1,6,1,28.601731
1,Hjortnes,59.91132000,10.70407000,2017,1,6,2,33.636905
1,Hjortnes,59.91132000,10.70407000,2017,1,6,3,38.690722
1,Hjortnes,59.91132000,10.70407000,2017,1,6,4,51.127394
1,Hjortnes,59.91132000,10.70407000,2017,1,6,5,91.756125
1,Hjortnes,59.91132000,10.70407000,2017,1,6,6,102.866076
1,Hjortnes,59.91132000,10.70407000,2017,1,6,7,125.712199
1,Hjortnes,59.91132000,10.70407000,2017,1,6,8,122.470160
1,Hjortnes,59.91132000,10.70407000,2017,1,6,9,118.718416
1,Hjortnes,59.91132000,10.70407000,2017,1,6,10,114.556246
1,Hjortnes,59.91132000,10.70407000,2017,1,6,11,135.414707
